City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
267,Usuki,JP,33.1081,131.7878,39.38,67,100,9.73,overcast clouds
268,San Andres,CO,12.5847,-81.7006,84.22,65,20,9.22,few clouds
269,Port Lincoln,AU,-34.7333,135.8667,64.26,88,32,14.38,scattered clouds
270,Bandarbeyla,SO,9.4942,50.8122,76.15,68,81,22.86,broken clouds
271,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,82,27,16.28,scattered clouds
272,Grosseto,IT,42.8333,11.25,49.68,65,0,1.14,clear sky
273,Haverfordwest,GB,51.8017,-4.9691,49.55,79,73,1.99,broken clouds
274,San Patricio,US,28.017,-97.5169,65.07,28,8,3.71,clear sky
275,Sabaudia,IT,41.3003,13.0282,50.92,57,5,6.58,clear sky
276,Portland,US,45.5234,-122.6762,48.11,67,20,4.0,few clouds
277,Port Shepstone,ZA,-30.7414,30.455,73.24,82,100,11.61,light rain
278,Xining,CN,36.6167,101.7667,11.82,58,10,2.01,clear sky
279,Yerbogachen,RU,61.2767,108.0108,-24.39,100,80,3.29,broken clouds
280,Rocha,UY,-34.4833,-54.3333,78.96,50,10,12.28,clear sky
281,Burdur,TR,37.7203,30.2908,27.3,86,0,3.44,clear sky
282,Dharmanagar,IN,24.3667,92.1667,49.62,71,0,2.66,clear sky
283,La Ronge,CA,55.1001,-105.2842,8.85,66,100,4.61,overcast clouds
284,Shumyachi,RU,53.8583,32.4242,23.23,94,100,5.5,overcast clouds
285,Bundaberg,AU,-24.85,152.35,73.69,95,100,1.99,overcast clouds
286,Matara,LK,5.9485,80.5353,77.56,87,99,5.82,overcast clouds
287,Campbellford,CA,44.3084,-77.7995,15.31,39,0,1.99,clear sky
288,Waingapu,ID,-9.6567,120.2641,78.53,86,100,7.43,overcast clouds
289,San Policarpo,PH,12.1791,125.5072,78.96,84,22,4.94,few clouds
290,Staryy Nadym,RU,65.6118,72.6842,-7.82,95,100,9.22,overcast clouds
291,Vardo,NO,70.3705,31.1107,21.65,76,100,3.09,overcast clouds
292,Hami,CN,42.8,93.45,20.8,47,0,4.83,clear sky
293,Marondera,ZW,-18.1853,31.5519,62.29,94,100,6.51,moderate rain
294,Segovia,ES,41.1667,-4.0,51.19,30,4,6.38,clear sky
295,Mahebourg,MU,-20.4081,57.7,80.89,83,40,8.05,scattered clouds
